44,5
41,7
30,4
44,2
19,18
41,12
24,5
14,4
13,16
3,16
23,15
30,2
18,4
45,1
22,14
39,15
34,16
50,6
22,4
30,17
38,7
3,4
16,5
39,13
21,12
7,10
29,5
47,6
16,17
1,11
39,14
9,19
22,16
10,5
33,14
30,12
25,11
42,9
7,7
29,2
17,12
3,17
24,4
38,8
31,13
33,20
38,15
17,6
39,19
15,13
44,19
48,3
2,15
3,2
37,10
14,11
37,1
7,15
16,3
37,3
40,7
41,11
38,9
14,20
46,18
30,8
32,3
32,7
44,13
16,12
45,20
36,11
43,16
38,2
5,6
29,17
36,4
46,15
31,8
15,8
22,8
7,18
42,16
25,12
15,6
36,16
24,6
30,13
3,11
5,15
25,17
50,11
50,18
1,9
18,7
13,8
5,4
