1,46,3,3418,22.02.2015,06.03.2015
2,7,6,9551,14.03.2015,27.01.2015
3,3,7,6378,26.01.2015,20.02.2015
4,42,1,2213,03.02.2015,25.05.2015
5,28,4,6878,01.05.2015,25.05.2015
6,44,6,5611,19.01.2015,16.03.2015
7,3,1,9883,12.01.2015,13.02.2015
8,42,5,2877,12.01.2015,29.03.2015
9,20,2,1677,04.05.2015,17.01.2015
10,40,6,1395,15.04.2015,29.03.2015
11,27,3,3704,03.01.2015,04.04.2015
12,12,6,4205,24.04.2015,08.02.2015
13,16,4,6685,07.05.2015,14.06.2015
14,23,5,5150,18.06.2015,03.01.2015
15,50,7,7646,20.03.2015,19.04.2015
16,5,3,7939,27.02.2015,18.03.2015
17,4,2,3150,29.05.2015,10.05.2015
18,3,3,5814,02.03.2015,02.03.2015
19,10,7,4774,07.05.2015,02.06.2015
20,46,5,6858,23.03.2015,13.06.2015
21,32,6,9853,24.05.2015,24.04.2015
22,26,3,3397,03.06.2015,24.02.2015
23,26,6,7078,12.06.2015,07.04.2015
24,10,5,1477,17.04.2015,09.04.2015
25,44,4,8759,09.01.2015,06.01.2015
26,14,7,5389,07.05.2015,30.05.2015
27,22,5,1065,24.06.2015,30.03.2015
28,42,3,5471,04.01.2015,15.02.2015
29,36,7,8879,10.03.2015,30.05.2015
30,34,7,2113,17.04.2015,27.03.2015
31,50,2,7319,18.02.2015,02.03.2015
32,10,1,4322,01.06.2015,20.05.2015
33,13,3,5365,20.04.2015,18.01.2015
34,49,5,5878,22.04.2015,10.01.2015
35,17,3,7836,21.05.2015,16.04.2015
36,43,4,9750,20.01.2015,24.05.2015
37,18,4,1833,28.02.2015,16.02.2015
38,16,2,8815,04.05.2015,24.02.2015
39,23,5,8008,15.02.2015,10.06.2015
40,11,5,2030,25.03.2015,02.05.2015
41,9,4,8247,08.01.2015,21.03.2015
42,49,6,4539,18.03.2015,04.04.2015
43,40,3,7982,15.02.2015,25.06.2015
44,7,3,2247,25.01.2015,04.01.2015
45,1,3,2023,21.06.2015,15.01.2015
46,23,6,7436,26.04.2015,14.03.2015
47,3,6,8992,08.02.2015,07.06.2015
48,14,2,1634,16.06.2015,26.01.2015
49,25,2,9398,13.02.2015,17.04.2015
50,5,7,3225,12.03.2015,25.04.2015
51,6,7,4983,20.03.2015,24.03.2015
52,7,3,4585,15.03.2015,02.01.2015
53,50,5,5622,27.02.2015,06.06.2015
54,36,6,5960,16.03.2015,17.01.2015
55,17,7,5240,22.01.2015,26.05.2015
56,14,4,3873,08.01.2015,23.04.2015
57,11,7,7621,28.03.2015,28.06.2015
58,1,4,6116,25.02.2015,16.04.2015
59,9,6,8291,28.03.2015,14.06.2015
60,48,6,2876,19.04.2015,22.02.2015
61,11,1,9364,31.03.2015,03.04.2015
62,20,6,6034,23.05.2015,27.06.2015
63,4,6,8948,26.01.2015,25.05.2015
64,33,3,8819,20.02.2015,13.02.2015
65,39,4,5431,10.02.2015,28.06.2015
66,24,2,1847,08.05.2015,10.06.2015
67,2,5,4191,14.06.2015,24.04.2015
68,37,5,1770,05.06.2015,22.05.2015
69,15,4,7167,12.03.2015,30.06.2015
70,28,3,5002,24.01.2015,21.01.2015
71,14,5,4384,01.03.2015,17.01.2015
72,19,6,2020,06.06.2015,29.05.2015
73,34,3,8315,22.04.2015,29.06.2015
74,29,3,7451,07.04.2015,08.02.2015
75,24,7,8240,22.04.2015,11.04.2015
76,32,4,7572,13.01.2015,12.05.2015
77,49,1,3354,22.01.2015,28.05.2015
78,22,5,5703,16.06.2015,14.05.2015
79,29,3,9637,17.01.2015,31.03.2015
80,26,4,1395,19.01.2015,27.05.2015
81,5,5,7795,11.03.2015,21.01.2015
82,1,5,7393,13.06.2015,19.03.2015
83,3,4,4963,02.02.2015,03.02.2015
84,33,4,9850,16.03.2015,20.05.2015
85,37,1,4132,28.03.2015,04.06.2015
86,5,5,6977,03.01.2015,03.05.2015
87,9,7,1233,01.01.2015,09.04.2015
88,50,4,2717,27.01.2015,15.05.2015
89,30,6,2078,08.06.2015,15.02.2015
90,40,1,8158,06.06.2015,10.01.2015
91,22,4,7996,27.06.2015,26.02.2015
92,39,4,4730,05.03.2015,21.01.2015
93,14,3,6508,19.04.2015,06.05.2015
94,26,4,8560,24.04.2015,25.05.2015
95,10,3,8495,10.02.2015,25.06.2015
96,29,7,3425,23.05.2015,05.01.2015
97,31,1,2509,04.06.2015,06.02.2015
98,1,2,3663,18.05.2015,14.04.2015
99,34,2,1275,04.02.2015,16.01.2015
100,10,1,9944,11.05.2015,11.02.2015
101,36,1,7972,06.03.2015,10.02.2015
102,38,7,6194,14.03.2015,17.06.2015
103,4,4,5890,26.03.2015,13.01.2015
104,40,3,5789,27.03.2015,10.03.2015
105,49,7,9647,26.04.2015,21.05.2015
106,35,6,2844,14.05.2015,28.05.2015
107,48,3,4267,11.01.2015,28.02.2015
108,14,3,2469,10.03.2015,09.05.2015
109,5,5,7148,30.06.2015,11.04.2015
110,40,7,2499,23.05.2015,15.04.2015
111,41,3,9434,04.01.2015,12.04.2015
112,22,7,7822,24.06.2015,05.04.2015
113,37,6,5302,15.03.2015,11.01.2015
114,23,7,6061,12.02.2015,30.06.2015
115,19,7,6818,28.02.2015,24.05.2015
116,9,2,6481,24.06.2015,30.01.2015
117,30,6,9050,06.03.2015,07.05.2015
118,5,4,8091,30.06.2015,27.05.2015
119,47,6,2870,21.04.2015,23.03.2015
120,12,4,5109,25.02.2015,20.01.2015
121,26,4,7146,07.06.2015,28.01.2015
122,31,5,9154,20.04.2015,22.01.2015
123,39,7,2336,23.06.2015,23.06.2015
124,10,2,2643,17.05.2015,06.02.2015
125,5,7,8065,14.06.2015,20.06.2015
126,18,3,7923,25.04.2015,17.01.2015
127,41,7,9484,23.02.2015,15.02.2015
128,2,5,9880,26.01.2015,08.06.2015
129,30,1,4293,09.04.2015,16.06.2015
130,28,6,6683,02.01.2015,03.03.2015
131,20,6,6432,17.01.2015,01.02.2015
132,18,4,3047,10.04.2015,10.02.2015
133,45,6,7140,19.06.2015,22.03.2015
134,17,2,1017,22.04.2015,11.03.2015
135,44,4,1030,11.05.2015,01.01.2015
136,3,1,6398,05.04.2015,19.03.2015
137,44,5,3788,07.05.2015,25.06.2015
138,3,7,2859,26.01.2015,13.02.2015
139,40,6,4105,13.05.2015,24.02.2015
140,50,5,4400,02.06.2015,13.06.2015
141,6,5,6716,11.02.2015,21.05.2015
142,25,2,3728,14.01.2015,04.06.2015
143,17,5,5339,23.04.2015,03.02.2015
144,8,5,2176,15.01.2015,06.04.2015
145,40,5,6881,08.01.2015,29.05.2015
146,1,1,3614,11.05.2015,01.04.2015
147,38,6,6752,09.05.2015,20.05.2015
148,45,4,5153,08.01.2015,22.03.2015
149,19,5,2674,27.05.2015,26.04.2015
150,28,2,2044,03.03.2015,11.06.2015
151,45,1,9504,14.03.2015,08.01.2015
152,11,3,3332,01.04.2015,09.03.2015
153,15,7,1020,09.03.2015,29.06.2015
154,2,1,3550,10.02.2015,22.01.2015
155,50,3,9927,19.03.2015,27.06.2015
156,50,4,9150,10.04.2015,21.03.2015
157,28,1,3340,25.06.2015,18.01.2015
158,18,3,8524,18.03.2015,25.05.2015
159,10,2,2246,11.05.2015,25.02.2015
160,38,3,7446,22.04.2015,02.04.2015
161,16,5,3217,20.01.2015,03.04.2015
162,47,5,9942,24.04.2015,30.05.2015
163,15,5,3293,16.02.2015,12.02.2015
164,49,6,4105,04.02.2015,23.04.2015
165,44,1,6330,22.04.2015,17.04.2015
166,34,1,7066,07.06.2015,20.05.2015
167,49,4,3235,22.04.2015,01.05.2015
168,38,2,7686,04.03.2015,18.06.2015
169,16,6,6514,13.04.2015,05.05.2015
170,1,7,1662,12.02.2015,28.01.2015
171,33,6,8259,11.01.2015,12.02.2015
172,35,6,5631,15.03.2015,30.06.2015
173,7,3,1005,13.01.2015,12.06.2015
174,14,5,5963,13.01.2015,23.01.2015
175,40,3,6601,18.03.2015,11.01.2015
176,19,4,4057,27.03.2015,21.03.2015
177,17,1,6474,05.05.2015,01.05.2015
178,3,2,6499,15.04.2015,29.04.2015
179,50,4,5032,28.05.2015,09.03.2015
180,19,3,2557,31.01.2015,04.04.2015
181,30,2,9855,31.01.2015,12.02.2015
182,8,1,8941,12.04.2015,23.04.2015
183,43,4,3159,30.05.2015,08.04.2015
184,45,2,1474,20.04.2015,23.01.2015
185,21,1,6062,17.05.2015,26.03.2015
186,48,4,7526,07.01.2015,23.06.2015
187,17,1,2572,09.02.2015,18.06.2015
188,43,2,1879,02.03.2015,09.01.2015
189,9,4,5507,13.06.2015,02.06.2015
190,44,3,9687,18.03.2015,16.03.2015
191,30,3,9145,05.04.2015,18.01.2015
192,6,4,6729,16.06.2015,16.06.2015
193,19,5,8544,28.05.2015,26.01.2015
194,13,2,4868,30.05.2015,16.03.2015
195,4,7,6900,15.02.2015,30.03.2015
196,9,3,9141,13.06.2015,09.06.2015
197,35,5,8610,13.03.2015,02.05.2015
198,31,6,2023,07.06.2015,09.03.2015
199,38,5,9191,07.03.2015,14.03.2015
200,31,6,9446,14.06.2015,20.01.2015
201,11,6,2906,12.03.2015,21.06.2015
202,31,5,1981,04.04.2015,13.03.2015
203,43,4,7888,15.02.2015,29.05.2015
204,40,1,3379,08.01.2015,02.01.2015
205,43,6,5096,13.06.2015,15.03.2015
206,14,7,3280,12.06.2015,21.03.2015
207,22,2,4723,06.03.2015,21.06.2015
208,21,5,5682,05.01.2015,30.06.2015
209,42,6,8336,01.05.2015,29.01.2015
210,46,5,5720,28.06.2015,12.04.2015
211,27,5,5470,23.04.2015,24.06.2015
212,19,7,4579,26.06.2015,24.02.2015
213,29,3,4322,27.04.2015,18.06.2015
214,27,5,9257,06.03.2015,22.04.2015
215,50,3,8532,19.03.2015,20.06.2015
216,9,6,1519,15.02.2015,09.05.2015
217,28,5,5571,27.03.2015,01.05.2015
218,18,3,4382,22.04.2015,02.04.2015
219,36,1,1506,16.03.2015,14.04.2015
220,14,4,8248,01.01.2015,08.04.2015
221,14,7,8715,21.04.2015,27.01.2015
222,29,5,5546,25.01.2015,20.06.2015
223,28,7,2187,22.02.2015,15.01.2015
224,43,1,8225,23.02.2015,15.02.2015
225,9,2,1317,14.03.2015,23.01.2015
226,22,1,5706,26.05.2015,27.03.2015
227,5,7,9112,25.03.2015,12.01.2015
228,24,4,8936,28.04.2015,01.04.2015
229,16,5,2389,06.02.2015,23.02.2015
230,43,7,5524,17.04.2015,10.05.2015
231,11,6,8662,21.03.2015,05.01.2015
232,28,3,5227,21.01.2015,15.05.2015
233,40,7,8859,28.06.2015,06.02.2015
234,35,7,8938,09.01.2015,24.01.2015
235,1,2,9864,27.05.2015,22.02.2015
236,47,3,1656,15.03.2015,23.03.2015
237,30,5,2791,18.05.2015,17.01.2015
238,13,4,9677,04.05.2015,05.05.2015
239,13,1,2232,29.05.2015,29.05.2015
240,7,3,2861,07.03.2015,02.03.2015
241,18,1,2690,08.06.2015,14.04.2015
242,49,2,8120,06.01.2015,12.06.2015
243,20,7,3084,17.05.2015,01.02.2015
244,7,7,3656,01.03.2015,09.01.2015
245,35,5,6843,25.06.2015,03.01.2015
246,26,2,1984,06.05.2015,06.04.2015
247,45,4,5988,29.03.2015,04.03.2015
248,33,7,4251,26.02.2015,02.04.2015
249,25,4,1948,26.03.2015,04.01.2015
250,12,7,7239,20.03.2015,23.04.2015
251,50,4,8841,26.04.2015,07.04.2015
252,19,5,9625,10.03.2015,10.05.2015
253,37,2,3942,19.01.2015,15.06.2015
254,12,3,1273,14.01.2015,12.01.2015
255,35,7,3788,30.05.2015,07.05.2015
256,48,5,5003,07.06.2015,11.04.2015
257,25,7,8737,20.01.2015,22.06.2015
258,4,7,6831,01.04.2015,10.01.2015
259,47,3,1304,21.01.2015,26.04.2015
260,12,5,1516,01.01.2015,08.03.2015
261,34,4,4040,14.06.2015,27.01.2015
262,31,6,9854,23.06.2015,20.04.2015
263,4,7,7213,07.02.2015,22.03.2015
264,20,1,2736,24.04.2015,01.03.2015
265,12,4,9437,22.04.2015,09.01.2015
266,2,3,6650,02.04.2015,02.05.2015
267,32,5,5786,07.05.2015,14.05.2015
268,27,2,8736,22.02.2015,05.05.2015
269,39,5,7142,24.02.2015,18.03.2015
270,28,1,2702,18.06.2015,27.02.2015
271,25,6,5534,10.03.2015,13.05.2015
272,50,2,8566,02.06.2015,06.04.2015
273,10,4,7571,08.02.2015,28.01.2015
274,48,3,7592,14.04.2015,15.05.2015
275,43,2,6519,24.02.2015,26.05.2015
276,47,2,4043,22.06.2015,28.06.2015
277,28,1,8663,15.05.2015,11.02.2015
278,21,7,7275,14.05.2015,31.05.2015
279,10,5,8600,18.04.2015,02.05.2015
280,22,6,8722,04.02.2015,14.02.2015
281,50,2,9530,02.05.2015,27.02.2015
282,9,1,2133,16.02.2015,12.03.2015
283,38,4,2372,05.01.2015,27.06.2015
284,40,6,1001,26.03.2015,05.06.2015
285,31,5,5382,29.06.2015,14.02.2015
286,1,3,1520,18.02.2015,05.03.2015
287,43,2,5959,07.06.2015,06.05.2015
288,23,7,8313,02.05.2015,20.05.2015
289,1,4,5677,27.01.2015,04.04.2015
290,9,1,1931,14.05.2015,08.06.2015
291,19,5,6449,18.04.2015,07.02.2015
292,6,2,3336,03.01.2015,20.01.2015
293,20,2,2569,01.01.2015,11.06.2015
294,18,4,2281,23.04.2015,06.06.2015
295,33,3,6107,07.02.2015,21.02.2015
296,40,3,8327,02.05.2015,03.06.2015
