220,15
182,9
48,8
13,14
204,10
81,14
7,1
147,1
250,8
192,13
232,2
36,10
138,13
264,6
141,2
300,10
235,11
77,2
219,8
186,5
16,2
223,13
181,2
282,2
39,1
95,9
64,8
145,13
252,12
179,2
57,9
74,11
10,1
81,6
83,5
263,9
176,5
140,6
31,11
248,15
293,2
167,9
285,4
18,11
290,14
55,13
151,13
175,1
22,6
58,5
135,6
208,6
223,5
174,1
239,10
203,9
55,4
200,6
114,8
29,12
99,2
204,1
229,9
219,2
205,1
76,3
240,1
189,12
182,13
146,6
57,6
236,2
142,13
133,5
300,1
190,3
180,14
148,3
42,7
103,10
24,14
156,5
175,13
3,15
283,12
296,4
15,8
86,11
155,5
77,6
58,12
124,1
272,12
175,5
125,13
133,11
149,12
94,5
273,6
166,2
243,14
150,4
123,3
201,1
114,3
18,8
87,12
276,3
261,7
38,5
258,11
168,14
118,5
280,3
247,8
234,15
207,6
244,1
1,1
160,10
67,6
106,10
270,11
220,3
223,9
61,2
280,12
18,5
133,1
208,2
285,3
226,1
274,6
127,7
143,9
85,9
179,13
253,10
169,11
293,12
275,5
40,6
203,2
68,1
134,12
34,13
115,15
70,12
178,12
133,9
156,8
13,7
201,9
88,9
251,13
217,7
72,6
203,10
169,13
95,6
164,2
11,1
128,9
159,8
248,11
220,4
232,8
43,10
198,9
178,15
114,11
90,9
31,6
68,4
176,6
16,12
116,8
92,12
83,1
188,7
282,6
4,12
62,10
10,15
219,3
213,5
11,5
44,7
68,2
286,12
59,3
46,5
277,8
128,14
21,12
249,13
241,10
230,4
226,7
132,3
55,10
237,1
93,1
298,15
77,13
100,3
279,6
79,8
268,8
106,13
225,5
114,5
172,11
1,14
259,15
249,3
91,14
187,10
49,6
188,5
206,8
20,1
269,1
77,8
97,4
180,6
259,4
45,2
260,11
158,3
99,4
263,10
190,15
237,8
96,14
111,12
208,13
149,14
102,11
47,5
84,1
67,7
107,9
197,14
29,9
7,8
161,7
63,3
224,7
253,5
183,5
144,4
254,3
8,1
255,13
275,9
73,6
52,11
213,12
43,8
166,11
136,4
183,6
141,15
109,15
225,6
247,4
255,6
162,11
162,5
287,8
13,13
179,11
259,3
279,7
236,1
65,13
131,13
5,4
133,4
112,3
140,3
239,1
223,4
175,4
61,4
284,4
126,3
161,8
170,4
185,12
27,8
56,6
8,11
99,6
56,7
231,10
34,8
279,5
16,3
99,3
144,12
26,8
140,9
167,10
234,9
149,9
13,12
108,15
223,14
152,9
118,1
239,9
201,5
101,11
50,12
59,6
191,11
300,9
204,11
40,4
150,12
230,7
48,6
283,7
13,3
110,4
263,11
64,3
184,3
84,6
166,5
125,3
161,15
37,7
80,5
63,4
282,15
171,10
105,11
262,2
68,7
31,3
72,2
121,3
168,3
279,15
82,8
263,14
4,2
213,14
102,4
5,1
235,8
73,7
88,5
66,9
54,9
24,6
120,6
52,1
288,5
100,2
245,4
198,12
215,13
238,2
88,15
34,5
15,9
267,11
96,2
247,2
239,3
33,4
145,5
272,7
216,9
292,12
276,13
37,5
227,4
181,4
72,1
134,15
49,14
155,9
165,15
204,15
169,5
30,15
21,8
187,3
123,15
47,14
167,11
31,5
138,10
61,8
6,6
291,15
226,12
48,5
225,13
224,12
44,3
175,15
256,1
173,13
73,8
248,7
194,13
217,11
61,12
17,10
7,10
299,14
78,13
199,2
199,4
261,15
260,4
19,15
269,15
61,9
279,13
292,8
200,9
161,2
162,6
173,11
117,12
179,9
274,2
95,8
14,10
123,8
128,1
219,1
148,2
209,11
238,6
293,10
250,15
42,2
26,14
233,3
37,15
18,1
45,6
120,5
150,14
270,15
161,14
241,4
6,13
98,9
60,2
109,13
120,15
267,9
85,8
205,11
258,7
49,7
62,11
27,2
21,2
236,13
261,13
192,14
142,9
123,5
36,6
251,15
102,14
177,13
278,15
150,10
121,13
79,4
225,10
14,14
160,6
110,12
102,8
52,10
198,10
202,6
9,8
139,14
249,6
46,2
251,12
240,8
154,3
166,1
195,9
144,11
136,11
259,6
15,2
112,12
140,15
67,15
190,10
154,15
242,13
190,2
108,12
292,6
134,2
289,10
77,3
127,8
127,12
137,8
173,12
177,1
156,14
40,9
22,9
147,13
117,4
153,11
79,9
31,7
221,3
33,3
43,13
19,8
93,3
44,11
28,13
46,10
39,6
103,8
244,7
48,13
173,7
31,13
71,11
255,10
123,4
151,1
74,12
227,8
201,3
71,6
272,11
36,2
187,13
123,11
283,6
12,15
209,10
105,8
204,3
130,14
132,15
187,6
26,9
36,4
235,10
300,11
108,1
254,13
125,2
192,9
189,7
205,2
289,1
55,9
184,7
183,8
13,11
140,12
150,7
178,8
144,13
188,9
233,13
224,6
206,7
18,3
132,12
32,9
224,8
260,8
82,12
233,14
234,10
110,2
114,4
254,5
168,2
141,11
120,8
253,11
263,4
295,10
93,9
14,6
38,11
138,7
282,10
118,9
277,11
83,9
103,14
244,2
71,2
218,12
24,12
161,5
274,5
260,7
206,13
261,4
246,6
223,11
