1,266,4,11
2,36,5,3
3,175,1,11
4,42,2,13
5,165,3,4
6,188,3,1
7,260,4,13
8,117,2,7
9,172,1,1
10,91,3,15
11,203,3,8
12,239,5,6
13,46,3,15
14,222,1,3
15,279,2,4
16,88,3,2
17,258,5,9
18,107,1,4
19,287,5,6
20,96,4,6
21,179,1,12
22,31,1,4
23,264,1,6
24,76,4,5
25,105,2,15
26,217,1,9
27,242,4,13
28,197,3,5
29,34,1,3
30,91,5,7
31,259,5,3
32,269,5,7
33,78,5,1
34,126,2,8
35,208,2,4
36,139,2,1
37,209,2,1
38,213,1,1
39,165,2,6
40,90,4,5
41,231,5,2
42,265,4,15
43,287,3,12
44,156,2,9
45,243,2,8
46,256,5,6
47,119,1,7
48,206,1,4
49,198,5,3
50,101,5,10
51,295,1,3
52,58,4,5
53,61,4,2
54,236,3,15
55,281,1,15
56,70,1,6
57,263,1,1
58,103,5,15
59,199,5,13
60,166,3,12
61,235,4,15
62,129,1,7
63,60,1,8
64,149,5,6
65,261,4,4
66,58,4,14
67,72,1,8
68,197,4,6
69,262,4,12
70,201,3,4
71,246,3,4
72,153,5,3
73,294,3,15
74,259,3,8
75,279,5,2
76,55,5,15
77,44,3,7
78,201,3,4
79,92,2,15
80,241,5,1
81,172,4,3
82,247,1,13
83,101,5,1
84,230,5,15
85,258,3,9
86,149,4,9
87,165,5,1
88,159,3,9
89,153,3,8
90,168,2,14
91,241,2,10
92,28,3,7
93,244,1,5
94,96,1,7
95,293,5,10
96,61,1,15
97,175,1,10
98,177,5,14
99,201,3,13
100,281,5,13
101,141,5,10
102,50,2,9
103,234,1,14
104,27,2,13
105,55,1,9
106,175,4,14
107,186,4,5
108,202,1,4
109,119,1,4
110,245,5,1
111,104,4,10
112,141,2,6
113,137,3,5
114,232,1,2
115,134,1,14
116,293,1,5
117,41,4,11
118,279,3,1
119,142,1,8
120,211,1,5
121,32,4,10
122,271,4,1
123,223,1,2
124,143,3,11
125,211,2,9
126,76,5,11
127,277,3,2
128,278,1,10
129,270,5,14
130,144,2,7
131,71,1,9
132,198,1,5
133,235,4,2
134,76,1,15
135,232,5,15
136,190,4,14
137,213,2,11
138,266,1,10
139,217,1,12
140,207,1,1
141,187,2,10
142,64,3,1
143,187,1,4
144,66,2,12
145,223,3,11
146,108,1,14
147,112,1,9
148,97,1,4
149,277,1,7
150,179,3,6
151,192,3,8
152,244,5,12
153,186,3,12
154,237,2,1
155,281,1,12
156,208,1,11
157,219,1,14
158,64,3,5
159,252,5,9
160,148,4,10
161,217,4,10
162,271,4,4
163,96,1,7
164,124,5,4
165,126,5,7
166,64,5,15
167,57,1,4
168,229,2,13
169,137,1,1
170,205,2,3
171,147,5,6
172,106,2,10
173,204,5,1
174,204,3,8
175,93,5,14
176,97,1,15
177,166,5,7
178,191,3,11
179,43,1,11
180,146,2,10
181,294,3,12
182,183,4,9
183,279,4,3
184,298,3,7
185,259,4,9
186,277,5,5
187,172,2,6
188,252,3,12
189,128,2,5
190,235,5,15
191,66,3,9
192,77,5,3
193,44,1,8
194,212,3,15
195,204,5,15
196,205,5,4
197,282,2,6
198,202,5,5
199,109,3,1
200,44,1,7
201,292,4,5
202,39,3,6
203,243,5,15
204,298,1,8
205,25,2,7
206,232,2,5
207,242,4,5
208,173,2,9
209,239,1,6
210,245,5,11
211,73,3,5
212,91,1,15
213,135,2,7
214,73,1,4
215,176,2,12
216,202,4,13
217,30,3,3
218,242,1,7
219,43,3,11
220,127,2,3
221,190,2,13
222,206,3,11
223,74,4,15
224,293,2,9
225,111,2,8
226,270,1,4
227,263,3,6
228,209,3,5
229,240,1,3
230,246,5,11
231,111,1,13
232,291,2,11
233,73,2,2
234,83,1,2
235,110,2,7
236,44,2,3
237,245,5,11
238,261,1,9
239,57,3,7
240,218,2,3
241,124,1,3
242,172,5,1
243,78,5,9
244,171,5,1
245,185,2,2
246,102,2,2
247,202,3,13
248,203,5,14
249,60,4,14
250,172,1,8
251,131,1,4
252,86,1,8
253,294,4,8
254,224,1,8
255,47,5,6
256,145,4,6
257,76,5,15
258,196,2,10
259,197,4,7
260,168,3,15
261,139,4,5
262,109,3,2
263,147,3,7
264,244,4,6
265,151,1,6
266,97,1,14
267,256,4,1
268,67,5,8
269,72,4,1
270,79,2,9
271,166,2,13
272,238,3,4
273,299,4,10
274,254,1,3
275,282,2,1
276,94,4,12
277,222,1,4
278,289,4,10
279,268,4,12
280,109,1,12
281,171,4,13
282,125,3,8
283,47,4,14
284,294,5,6
285,259,3,14
286,186,4,1
287,85,2,14
288,86,4,3
289,37,4,9
290,37,4,12
291,115,2,8
292,37,5,11
293,212,4,12
294,94,1,3
295,164,5,3
296,148,4,4
297,247,5,14
298,287,3,1
299,288,3,1
300,26,1,15
